frame,brightness,size,catchlights,blink
622,67.9963768115942,3864,4,0
623,68.12584856396867,3830,4,0
624,59.551507537688444,1592,3,0
625,0.0,0,0,1
626,0.0,0,0,1
627,0.0,0,0,1
628,0.0,0,0,1
629,0.0,0,0,1
630,0.0,0,0,1
631,0.0,0,0,1
632,0.0,0,0,1
633,0.0,0,0,1
634,0.0,0,0,1
635,0.0,0,0,1
636,0.0,0,0,1
637,0.0,0,0,1
638,0.0,0,0,1
639,47.9,220,1,1
640,0.0,0,0,1
641,0.0,0,0,1
642,0.0,0,0,1
643,0.0,0,0,1
644,50.81818181818182,220,1,1
645,50.16,200,1,1
646,53.11001964636542,1018,3,0
647,54.66307277628032,1484,4,0
648,56.552011095700415,1442,3,0
649,57.54442148760331,1936,4,0
650,58.621973929236496,2148,4,0
651,61.474114441416894,2202,3,0
652,62.30213089802131,2628,4,0
653,61.81570996978852,1324,2,1
654,61.52554744525548,1370,2,1
655,62.34366391184573,2904,4,0
656,63.01156462585034,2940,4,0
657,63.18753973299428,3146,4,0
658,63.16749379652605,1612,2,1
659,63.14980289093298,1522,2,1
660,64.01144310235219,3146,4,0
661,64.97666882696046,3086,4,0
662,64.30281229561805,3058,4,0
663,64.3594351732991,3116,4,0
664,64.46401985111663,3224,4,0
665,64.51273885350318,3140,4,0
666,64.47284929835266,3278,4,0
667,64.78148148148148,3240,4,0
668,65.25523486134692,3534,4,0
669,64.19653179190752,1730,2,1
670,64.62575210589651,1662,2,1
671,64.65714285714286,1610,2,1
672,66.05584045584045,3510,4,0
673,66.41084824004616,3466,4,0
674,66.73699095022624,3536,4,0
675,66.30731170973063,3638,4,0
676,66.48767416934619,3732,4,0
677,66.62602459016394,3904,4,0
678,66.97915553180117,3742,4,0
679,67.66906474820144,3892,4,0
680,68.23761375126391,3956,4,0
681,68.73906560636183,4024,4,0
682,69.99364924279433,4094,4,0
683,69.77040314650934,4068,4,0
684,69.48398225726959,4058,4,0
685,69.57871287128712,4040,4,0
686,68.1014344262295,1952,2,1
687,69.43459088682019,4082,4,0
688,69.8795731707317,3936,4,0
689,69.73960821786909,4186,4,0
690,69.60189125295508,4230,4,0
691,70.17403574788335,4252,4,0
692,69.73989283974672,4106,4,0
693,68.65527791942887,3922,4,0
694,64.34166146158651,3202,4,0
695,0.0,0,0,1
696,0.0,0,0,1
697,0.0,0,0,1
698,0.0,0,0,1
699,0.0,0,0,1
700,0.0,0,0,1
701,0.0,0,0,1
702,0.0,0,0,1
703,0.0,0,0,1
704,0.0,0,0,1
705,0.0,0,0,1
706,0.0,0,0,1
707,0.0,0,0,1
708,0.0,0,0,1
709,0.0,0,0,1
710,0.0,0,0,1
711,0.0,0,0,1
712,0.0,0,0,1
713,0.0,0,0,1
714,0.0,0,0,1
715,0.0,0,0,1
716,0.0,0,0,1
717,52.785714285714285,504,2,1
718,53.17843137254902,1020,3,0
719,55.91798107255521,1268,3,0
720,56.04340567612688,1198,3,0
721,57.971684053651266,1342,3,0
722,58.64246575342466,1460,3,0
723,59.59817945383615,1538,3,0
724,59.81658291457286,1592,3,0
725,60.41484184914842,1644,3,0
726,60.428089887640446,1780,3,0
727,60.84350721420644,1802,3,0
728,60.58426966292135,1780,3,0
729,60.814081408140815,1818,3,0
730,61.24397031539889,2156,3,0
731,61.359310910582444,2438,4,0
732,62.04400283889283,2818,4,0
733,63.20893561103811,3044,4,0
734,61.897402597402596,1540,2,1
735,62.58568738229755,3186,4,0
736,62.82814445828144,1606,2,1
737,63.238267148014444,3324,4,0
738,64.68948655256723,3272,4,0
739,62.897277227722775,1616,2,1
740,63.03049555273189,1574,2,1
741,64.4900234741784,3408,4,0
742,64.37162954279015,3412,4,0
743,64.53567318757192,3476,4,0
744,64.97036606624056,3442,4,0
745,65.162224797219,1726,2,1
746,64.16704936854191,3484,4,0
747,64.9102489866821,3454,4,0
748,65.36358279316441,3394,4,0
